CodMunic	NomeMunic	Regiao	CodUF	SiglaUF	Populacao	FuncADMD	Maternidade	Emergencia	mater	emerg	materemerg	sqrtPop	estrato
431306	Nova Hartz	4	43	RS	18598	654	Não	Não	0	0	0	136.374484416991	3
280360	Laranjeiras	2	28	SE	27177	1632	Não	Sim	0	1	0	164.854481285769	3
316295	São José da Lapa	3	31	MG	20168	910	Não	Não	0	0	0	142.014083808614	3
292370	Paratinga	2	29	BA	29682	1827	Não	Sim	0	1	0	172.284648184335	3
420880	Jaguaruna	4	42	SC	17496	667	Não	Sim	0	1	0	132.272446110292	3
292550	Prado	2	29	BA	27661	1345	Não	Sim	0	1	0	166.315964357003	3
311440	Carmo do Rio Claro	3	31	MG	20480	579	Sim	Sim	1	1	1	143.108350559987	3
292310	Olindina	2	29	BA	25023	885	Não	Sim	0	1	0	158.186598673845	3
150506	Novo Repartimento	1	15	PA	63604	2164	Sim	Sim	1	1	1	252.198334649537	4
352840	Mairinque	3	35	SP	43473	1638	Não	Sim	0	1	0	208.501798553394	4
430610	Cruz Alta	4	43	RS	62474	1711	Sim	Sim	1	1	1	249.947994590875	4
510792	Sorriso	5	51	MT	68894	1546	Não	Sim	0	1	0	262.476665629537	4
291760	Jaguaquara	2	29	BA	51328	1672	Não	Sim	0	1	0	226.556836136101	4
310900	Brumadinho	3	31	MG	34538	2032	Não	Sim	0	1	0	185.844020619443	4
430676	Eldorado do Sul	4	43	RS	34887	1087	Não	Sim	0	1	0	186.780619979697	4
261090	Pesqueira	2	26	PE	63320	1631	Sim	Sim	1	1	1	251.634655800826	4
260940	Moreno	2	26	PE	57271	2325	Sim	Sim	1	1	1	239.313601786443	4
310710	Boa Esperança	3	31	MG	38627	1404	Sim	Sim	1	1	1	196.537528222983	4
290600	Campo Formoso	2	29	BA	66967	2009	Sim	Sim	1	1	1	258.779829198491	4
292810	Santa Maria da Vitória	2	29	BA	40236	1576	Não	Sim	0	1	0	200.58913230781	4
351740	Guaíra	3	35	SP	37619	1367	Sim	Sim	1	1	1	193.9561806182	4
312090	Curvelo	3	31	MG	74734	1898	Sim	Sim	1	1	1	273.375200045652	4
260880	Lajedo	2	26	PE	36968	1552	Sim	Sim	1	1	1	192.270642584873	4
231070	Pentecoste	2	23	CE	35615	1438	Não	Sim	0	1	0	188.719368375374	4
231340	Tianguá	2	23	CE	69723	1929	Sim	Sim	1	1	1	264.051131412081	4
520450	Caldas Novas	5	52	GO	72071	2839	Sim	Sim	1	1	1	268.46042538892	4
521760	Planaltina	5	52	GO	82258	2718	Sim	Sim	1	1	1	286.806555015746	4
150840	Xinguara	1	15	PA	40984	1454	Sim	Sim	1	1	1	202.445054273993	4
310730	Bocaiúva	3	31	MG	46950	1904	Sim	Sim	1	1	1	216.679486800205	4
261100	Petrolândia	2	26	PE	32889	1872	Sim	Sim	1	1	1	181.35324645564	4
210340	Coelho Neto	2	21	MA	47099	1250	Sim	Sim	1	1	1	217.02304025149	4
